"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "Species1pVal" "Species2pval" "MaxpVal"
"OG0014103" "Lodge" "Pinsyl_asmbl_117182.p1.p1" "Nor" "PICAB_chr10_M00002802902" " 1.49e-55" " 3.22e-47" " 3.22e-47"
"OG0020284" "Lodge" "Pinsyl_asmbl_93160.p1.p1" "Nor" "PICAB_chr08_M00002182086" " 4.75e-49" " 4.26e-47" " 4.26e-47"
"OG0009785" "Lodge" "Pinsyl_asmbl_1490.p1.p1" "Nor" "PICAB_chr07_M00001997554" " 4.72e-47" " 6.87e-50" " 4.72e-47"
"OG0005754" "Lodge" "Pinsyl_asmbl_3456.p1.p1" "Nor" "PICAB_chr12_M00003191254" " 4.80e-47" " 1.43e-47" " 4.80e-47"
"OG0003001" "Lodge" "Pinsyl_asmbl_86976.p1.p1" "Nor" "PICAB_chr10_M00002844065" " 7.11e-47" " 2.75e-48" " 7.11e-47"
"OG0011764" "Lodge" "Pinsyl_asmbl_31004.p1.p1" "Nor" "PICAB_chr08_M00002062479" " 8.40e-47" " 4.58e-51" " 8.40e-47"
"OG0002773" "Lodge" "Pinsyl_asmbl_26120.p1.p1" "Nor" "PICAB_chr02_M00000367259" " 2.28e-46" " 3.11e-50" " 2.28e-46"
"OG0014664" "Lodge" "Pinsyl_asmbl_85630.p1.p1" "Nor" "PICAB_chr07_M00002012841" " 2.49e-46" " 1.96e-47" " 2.49e-46"
"OG0016957" "Lodge" "Pinsyl_asmbl_29169.p1.p1" "Nor" "PICAB_cUL09_M00003482075" " 5.99e-46" " 7.36e-53" " 5.99e-46"
"OG0009197" "Lodge" "Pinsyl_asmbl_11093.p1.p1" "Nor" "PICAB_chr09_M00002458810" " 1.14e-45" " 1.79e-55" " 1.14e-45"
"OG0017545" "Lodge" "Pinsyl_asmbl_71889.p1.p1" "Nor" "PICAB_chr12_M00003336300" " 1.21e-51" " 1.52e-45" " 1.52e-45"
"OG0017473" "Lodge" "Pinsyl_asmbl_12040.p1.p1" "Nor" "PICAB_chr10_M00002756965" " 2.20e-45" " 2.24e-46" " 2.20e-45"
"OG0019835" "Lodge" "Pinsyl_asmbl_77979.p1.p1" "Nor" "PICAB_chr04_M00001062524" " 3.75e-45" " 1.28e-50" " 3.75e-45"
"OG0019582" "Lodge" "Pinsyl_asmbl_44514.p1.p1" "Nor" "PICAB_chr02_M00000377306" " 1.76e-49" " 4.23e-45" " 4.23e-45"
"OG0006973" "Lodge" "Pinsyl_asmbl_8182.p1.p1" "Nor" "PICAB_chr02_M00000602995" " 1.19e-46" " 5.22e-45" " 5.22e-45"
"OG0019754" "Lodge" "Pinsyl_asmbl_21499.p1.p1" "Nor" "PICAB_chr03_M00000833404" " 2.23e-45" " 5.30e-45" " 5.30e-45"
"OG0007861" "Lodge" "Pinsyl_asmbl_125223.p1.p1" "Nor" "PICAB_chr07_M00001806668" " 3.49e-52" " 9.84e-45" " 9.84e-45"
"OG0017104" "Lodge" "Pinsyl_asmbl_21773.p1.p1" "Nor" "PICAB_chr02_M00000599764" " 5.21e-50" " 1.12e-44" " 1.12e-44"
"OG0019888" "Lodge" "Pinsyl_asmbl_53432.p1.p1" "Nor" "PICAB_chr04_M00001214191" " 2.71e-47" " 1.79e-44" " 1.79e-44"
"OG0017435" "Lodge" "Pinsyl_asmbl_78341.p1.p1" "Nor" "PICAB_chr09_M00002554759" " 2.14e-44" " 4.23e-49" " 2.14e-44"
"OG0004372" "Lodge" "Pinsyl_asmbl_23744.p1.p1" "Nor" "PICAB_chr04_M00001114263" " 3.10e-44" " 2.80e-45" " 3.10e-44"
"OG0019571" "Lodge" "Pinsyl_asmbl_115511.p1.p1" "Nor" "PICAB_chr02_M00000355830" " 4.65e-49" " 3.43e-44" " 3.43e-44"
"OG0001535" "Lodge" "Pinsyl_asmbl_116817.p1.p1" "Nor" "PICAB_chr05_M00001319757" " 4.45e-44" " 2.06e-47" " 4.45e-44"
"OG0020065" "Lodge" "Pinsyl_asmbl_41941.p1.p1" "Nor" "PICAB_chr06_M00001694412" " 5.04e-47" " 5.71e-44" " 5.71e-44"
"OG0017344" "Lodge" "Pinsyl_asmbl_64139.p1.p1" "Nor" "PICAB_chr07_M00001936376" " 8.40e-44" " 5.88e-47" " 8.40e-44"
"OG0011797" "Lodge" "Pinsyl_asmbl_113971.p1.p1" "Nor" "PICAB_chr01_M00000255928" " 3.52e-43" " 4.42e-48" " 3.52e-43"
"OG0019990" "Lodge" "Pinsyl_asmbl_54726.p1.p1" "Nor" "PICAB_chr06_M00001521886" " 7.36e-43" " 6.39e-43" " 7.36e-43"
"OG0015215" "Lodge" "Pinsyl_asmbl_75421.p1.p1" "Nor" "PICAB_chr12_M00003348785" " 4.80e-46" " 1.52e-42" " 1.52e-42"
"OG0020637" "Lodge" "Pinsyl_asmbl_41669.p1.p1" "Nor" "PICAB_chr12_M00003157528" " 1.81e-42" " 1.99e-44" " 1.81e-42"
"OG0020415" "Lodge" "Pinsyl_asmbl_138559.p1.p1" "Nor" "PICAB_chr09_M00002543392" " 2.03e-47" " 1.82e-42" " 1.82e-42"
"OG0011488" "Lodge" "Pinsyl_asmbl_82760.p1.p1" "Nor" "PICAB_chr03_M00000738749" " 3.39e-47" " 2.61e-42" " 2.61e-42"
"OG0005942" "Lodge" "Pinsyl_asmbl_12053.p1.p1" "Nor" "PICAB_chr12_M00003423768" " 3.47e-42" " 8.05e-45" " 3.47e-42"
"OG0007688" "Lodge" "Pinsyl_asmbl_30529.p1.p1" "Nor" "PICAB_chr08_M00002298518" " 5.61e-48" " 4.49e-42" " 4.49e-42"
"OG0013972" "Lodge" "Pinsyl_asmbl_21774.p1.p1" "Nor" "PICAB_chr02_M00000599855" " 1.22e-48" " 7.09e-42" " 7.09e-42"
"OG0012787" "Lodge" "Pinsyl_asmbl_104414.p1.p1" "Nor" "PICAB_cUL05_M00003481482" " 2.00e-43" " 2.03e-41" " 2.03e-41"
"OG0015541" "Lodge" "Pinsyl_asmbl_47676.p1.p1" "Nor" "PICAB_chr11_M00003013111" " 2.21e-41" " 1.17e-41" " 2.21e-41"
"OG0020364" "Lodge" "Pinsyl_asmbl_138514.p1.p1" "Nor" "PICAB_chr09_M00002424567" " 3.59e-46" " 2.30e-41" " 2.30e-41"
"OG0025444" "Lodge" "Pinsyl_asmbl_135458.p1.p1" "Nor" "PICAB_chr09_M00002402776" " 3.20e-41" " 6.77e-44" " 3.20e-41"
"OG0020656" "Lodge" "Pinsyl_asmbl_33021.p1.p1" "Nor" "PICAB_chr12_M00003231486" " 3.54e-41" " 1.03e-44" " 3.54e-41"
"OG0003347" "Lodge" "Pinsyl_asmbl_114271.p1.p1" "Nor" "PICAB_chr01_M00000233614" " 1.03e-40" " 4.14e-44" " 1.03e-40"
"OG0017110" "Lodge" "Pinsyl_asmbl_65874.p1.p1" "Nor" "PICAB_chr03_M00000652661" " 1.34e-40" " 3.27e-42" " 1.34e-40"
"OG0007823" "Lodge" "Pinsyl_asmbl_75789.p1.p1" "Nor" "PICAB_chr04_M00001022490" " 2.49e-40" " 1.61e-41" " 2.49e-40"
"OG0014109" "Lodge" "Pinsyl_asmbl_20559.p1.p1" "Nor" "PICAB_chr11_M00002948159" " 2.41e-40" " 2.69e-40" " 2.69e-40"
"OG0019739" "Lodge" "Pinsyl_asmbl_101033.p1.p1" "Nor" "PICAB_chr03_M00000804026" " 6.41e-40" " 3.90e-40" " 6.41e-40"
"OG0003184" "Lodge" "Pinsyl_asmbl_125523.p1.p1" "Nor" "PICAB_cUL07_M00003540825" " 6.13e-46" " 9.03e-40" " 9.03e-40"
