"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "MaxPVal"
"OG0005529" "Lodge" "Pinsyl_asmbl_13415.p1.p1" "Asp" "Potra2n13c25546" "5.13e-01"
"OG0003070" "Lodge" "Pinsyl_asmbl_24575.p1.p1" "Asp" "Potra2n14c26351" "5.42e-01"
"OG0008900" "Lodge" "Pinsyl_asmbl_44769.p1.p1" "Asp" "Potra2n13c25656" "5.79e-01"
"OG0002164" "Lodge" "Pinsyl_asmbl_65284.p2.p1" "Asp" "Potra2n18c32725" "5.90e-01"
"OG0012506" "Lodge" "Pinsyl_asmbl_114270.p1.p1" "Asp" "Potra2n4c10302" "6.39e-01"
"OG0003255" "Lodge" "Pinsyl_asmbl_66683.p1.p1" "Asp" "Potra2n13c25684" "6.50e-01"
"OG0011592" "Lodge" "Pinsyl_asmbl_64072.p1.p1" "Asp" "Potra2n5c11904" "6.51e-01"
"OG0011468" "Lodge" "Pinsyl_asmbl_72435.p1.p1" "Asp" "Potra2n5c12274" "6.64e-01"
"OG0006018" "Lodge" "Pinsyl_asmbl_100117.p1.p1" "Asp" "Potra2n5c12167" "7.20e-01"
"OG0007289" "Lodge" "Pinsyl_asmbl_112946.p1.p1" "Asp" "Potra2n6c13372" "7.21e-01"
"OG0009649" "Lodge" "Pinsyl_asmbl_27438.p1.p1" "Asp" "Potra2n562s35968" "7.39e-01"
"OG0005225" "Lodge" "Pinsyl_asmbl_129206.p1.p1" "Asp" "Potra2n16c29651" "8.11e-01"
"OG0008742" "Lodge" "Pinsyl_asmbl_56850.p1.p1" "Asp" "Potra2n1c3190" "8.12e-01"
"OG0006083" "Lodge" "Pinsyl_asmbl_103812.p1.p1" "Asp" "Potra2n1c3623" "8.15e-01"
"OG0005063" "Lodge" "Pinsyl_asmbl_91930.p1.p1" "Asp" "Potra2n14c27149" "8.17e-01"
"OG0011396" "Lodge" "Pinsyl_asmbl_20450.p1.p1" "Asp" "Potra2n5c11507" "8.48e-01"
"OG0002962" "Lodge" "Pinsyl_asmbl_10514.p1.p1" "Asp" "Potra2n10c21930" "8.95e-01"
"OG0009015" "Lodge" "Pinsyl_asmbl_15719.p1.p1" "Asp" "Potra2n3c6743" "9.10e-01"
"OG0010507" "Lodge" "Pinsyl_asmbl_38948.p1.p1" "Asp" "Potra2n5c11459" "9.17e-01"
"OG0004587" "Lodge" "Pinsyl_asmbl_128869.p1.p1" "Asp" "Potra2n16c29953" "9.24e-01"
"OG0008573" "Lodge" "Pinsyl_asmbl_92803.p1.p1" "Asp" "Potra2n10c20118" "9.33e-01"
"OG0009770" "Lodge" "Pinsyl_asmbl_59782.p1.p1" "Asp" "Potra2n1c658" "9.33e-01"
"OG0011249" "Lodge" "Pinsyl_asmbl_33327.p1.p1" "Asp" "Potra2n8c16925" "9.60e-01"
"OG0010462" "Lodge" "Pinsyl_asmbl_10025.p1.p1" "Asp" "Potra2n13c25621" "9.90e-01"
"OG0004601" "Lodge" "Pinsyl_asmbl_8656.p1.p1" "Asp" "Potra2n2c5993" "9.92e-01"
"OG0004116" "Lodge" "Pinsyl_asmbl_85943.p1.p1" "Asp" "Potra2n10c20837" "9.94e-01"
"OG0007959" "Lodge" "Pinsyl_asmbl_96107.p1.p1" "Asp" "Potra2n14c26623" "9.97e-01"
"OG0001393" "Lodge" "Pinsyl_asmbl_36658.p1.p1" "Asp" "Potra2n18c32535" "1.00e+00"
"OG0001457" "Lodge" "Pinsyl_asmbl_5077.p1.p1" "Asp" "Potra2n13c26267" "1.00e+00"
"OG0001657" "Lodge" "Pinsyl_asmbl_137666.p1.p1" "Asp" "Potra2n10c20165" "1.00e+00"
"OG0001792" "Lodge" "Pinsyl_asmbl_130131.p1.p1" "Asp" "Potra2n11c23107" "1.00e+00"
"OG0002314" "Lodge" "Pinsyl_asmbl_142228.p1.p1" "Asp" "Potra2n14c26850" "1.00e+00"
"OG0002348" "Lodge" "Pinsyl_asmbl_2055.p1.p1" "Asp" "Potra2n18c32559" "1.00e+00"
"OG0002375" "Lodge" "Pinsyl_asmbl_85767.p1.p1" "Asp" "Potra2n1c2309" "1.00e+00"
"OG0002379" "Lodge" "Pinsyl_asmbl_496.p1.p1" "Asp" "Potra2n5c11598" "1.00e+00"
"OG0003394" "Lodge" "Pinsyl_asmbl_123178.p1.p1" "Asp" "Potra2n16c30016" "1.00e+00"
"OG0003489" "Lodge" "Pinsyl_asmbl_23186.p1.p1" "Asp" "Potra2n16c30461" "1.00e+00"
"OG0003709" "Lodge" "Pinsyl_asmbl_101381.p1.p1" "Asp" "Potra2n13c25615" "1.00e+00"
"OG0004779" "Lodge" "Pinsyl_asmbl_91456.p1.p1" "Asp" "Potra2n13c25382" "1.00e+00"
"OG0005132" "Lodge" "Pinsyl_asmbl_110368.p1.p1" "Asp" "Potra2n1c2338" "1.00e+00"
"OG0005185" "Lodge" "Pinsyl_asmbl_10623.p1.p1" "Asp" "Potra2n17c31749" "1.00e+00"
"OG0005360" "Lodge" "Pinsyl_asmbl_64682.p1.p1" "Asp" "Potra2n1c2139" "1.00e+00"
"OG0005544" "Lodge" "Pinsyl_asmbl_100875.p1.p1" "Asp" "Potra2n1c1581" "1.00e+00"
"OG0005585" "Lodge" "Pinsyl_asmbl_121146.p1.p1" "Asp" "Potra2n13c25430" "1.00e+00"
"OG0006316" "Lodge" "Pinsyl_asmbl_9783.p1.p1" "Asp" "Potra2n5c11109" "1.00e+00"
"OG0006328" "Lodge" "Pinsyl_asmbl_53440.p1.p1" "Asp" "Potra2n3c6831" "1.00e+00"
"OG0006368" "Lodge" "Pinsyl_asmbl_1945.p1.p1" "Asp" "Potra2n2c4649" "1.00e+00"
"OG0006375" "Lodge" "Pinsyl_asmbl_25325.p1.p1" "Asp" "Potra2n1c1387" "1.00e+00"
"OG0006729" "Lodge" "Pinsyl_asmbl_47196.p1.p1" "Asp" "Potra2n3c8291" "1.00e+00"
"OG0006941" "Lodge" "Pinsyl_asmbl_88929.p1.p1" "Asp" "Potra2n1c1302" "1.00e+00"
"OG0007002" "Lodge" "Pinsyl_asmbl_109601.p1.p1" "Asp" "Potra2n10c22213" "1.00e+00"
"OG0007017" "Lodge" "Pinsyl_asmbl_142503.p1.p1" "Asp" "Potra2n17c31778" "1.00e+00"
"OG0007044" "Lodge" "Pinsyl_asmbl_30723.p1.p1" "Asp" "Potra2n12c24496" "1.00e+00"
"OG0007366" "Lodge" "Pinsyl_asmbl_112166.p1.p1" "Asp" "Potra2n1c1028" "1.00e+00"
"OG0007387" "Lodge" "Pinsyl_asmbl_39380.p1.p1" "Asp" "Potra2n11c22899" "1.00e+00"
"OG0007548" "Lodge" "Pinsyl_asmbl_117089.p1.p1" "Asp" "Potra2n7c15820" "1.00e+00"
"OG0007611" "Lodge" "Pinsyl_asmbl_99972.p1.p1" "Asp" "Potra2n14c27819" "1.00e+00"
"OG0008042" "Lodge" "Pinsyl_asmbl_105367.p1.p1" "Asp" "Potra2n6c15174" "1.00e+00"
"OG0008094" "Lodge" "Pinsyl_asmbl_13060.p1.p1" "Asp" "Potra2n2c4196" "1.00e+00"
"OG0008226" "Lodge" "Pinsyl_asmbl_104354.p1.p1" "Asp" "Potra2n15c28639" "1.00e+00"
"OG0008740" "Lodge" "Pinsyl_asmbl_107798.p1.p1" "Asp" "Potra2n17c31367" "1.00e+00"
"OG0009135" "Lodge" "Pinsyl_asmbl_60540.p1.p1" "Asp" "Potra2n5c12358" "1.00e+00"
"OG0009137" "Lodge" "Pinsyl_asmbl_70823.p1.p1" "Asp" "Potra2n15c28448" "1.00e+00"
"OG0009595" "Lodge" "Pinsyl_asmbl_54868.p1.p1" "Asp" "Potra2n1c737" "1.00e+00"
"OG0009755" "Lodge" "Pinsyl_asmbl_109523.p1.p1" "Asp" "Potra2n13c25999" "1.00e+00"
"OG0009928" "Lodge" "Pinsyl_asmbl_12178.p1.p1" "Asp" "Potra2n1c2349" "1.00e+00"
"OG0010575" "Lodge" "Pinsyl_asmbl_100289.p1.p1" "Asp" "Potra2n1c1409" "1.00e+00"
"OG0010600" "Lodge" "Pinsyl_asmbl_40446.p1.p1" "Asp" "Potra2n18c32362" "1.00e+00"
"OG0011432" "Lodge" "Pinsyl_asmbl_17402.p1.p1" "Asp" "Potra2n17c31794" "1.00e+00"
"OG0011550" "Lodge" "Pinsyl_asmbl_106519.p1.p1" "Asp" "Potra2n6c14651" "1.00e+00"
"OG0011668" "Lodge" "Pinsyl_asmbl_46895.p1.p1" "Asp" "Potra2n5c12205" "1.00e+00"
"OG0011691" "Lodge" "Pinsyl_asmbl_109796.p1.p1" "Asp" "Potra2n4c8582" "1.00e+00"
"OG0011700" "Lodge" "Pinsyl_asmbl_90582.p1.p1" "Asp" "Potra2n17c30866" "1.00e+00"
"OG0011723" "Lodge" "Pinsyl_asmbl_102735.p1.p1" "Asp" "Potra2n9c19197" "1.00e+00"
"OG0012643" "Lodge" "Pinsyl_asmbl_18331.p1.p1" "Asp" "Potra2n1c3209" "1.00e+00"
"OG0012782" "Lodge" "Pinsyl_asmbl_106404.p1.p1" "Asp" "Potra2n6c12954" "1.00e+00"
"OG0015466" "Lodge" "Pinsyl_asmbl_6051.p1.p1" "Asp" "Potra2n7c16392" "1.00e+00"
"OG0015210" "Lodge" "Pinsyl_asmbl_95800.p1.p1" "Nor" "PICAB_chr04_M00001162121" " 2.95e-44"
"OG0020207" "Lodge" "Pinsyl_asmbl_37802.p1.p1" "Nor" "PICAB_chr07_M00002003941" " 2.71e-29"
"OG0020701" "Lodge" "Pinsyl_asmbl_91601.p1.p1" "Nor" "PICAB_chr12_M00003365104" " 3.18e-25"
"OG0011700" "Lodge" "Pinsyl_asmbl_90582.p1.p1" "Nor" "PICAB_chr12_M00003331217" " 7.93e-25"
"OG0008042" "Lodge" "Pinsyl_asmbl_105367.p1.p1" "Nor" "PICAB_chr03_M00000873011" " 1.95e-19"
"OG0015459" "Lodge" "Pinsyl_asmbl_112111.p1.p1" "Nor" "PICAB_chr07_M00002014525" " 4.30e-19"
"OG0017561" "Lodge" "Pinsyl_asmbl_112747.p1.p1" "Nor" "PICAB_sUL03_M00000016097" " 1.02e-18"
"OG0009978" "Lodge" "Pinsyl_asmbl_5903.p1.p1" "Nor" "PICAB_chr06_M00001547364" " 5.67e-15"
"OG0015158" "Lodge" "Pinsyl_asmbl_100962.p1.p1" "Nor" "PICAB_chr03_M00000798479" " 2.18e-13"
"OG0019639" "Lodge" "Pinsyl_asmbl_76106.p1.p1" "Nor" "PICAB_chr02_M00000561648" " 7.88e-13"
"OG0009982" "Lodge" "Pinsyl_asmbl_129081.p1.p1" "Nor" "PICAB_chr01_M00000025474" " 1.17e-12"
"OG0003286" "Lodge" "Pinsyl_asmbl_95187.p1.p1" "Nor" "PICAB_chr08_M00002244735" " 1.20e-10"
"OG0005063" "Lodge" "Pinsyl_asmbl_91930.p1.p1" "Nor" "PICAB_chr11_M00003082343" " 1.41e-10"
"OG0005185" "Lodge" "Pinsyl_asmbl_10623.p1.p1" "Nor" "PICAB_chr09_M00002625712" " 1.80e-10"
"OG0004116" "Lodge" "Pinsyl_asmbl_85943.p1.p1" "Nor" "PICAB_chr09_M00002535113" " 8.15e-09"
"OG0011432" "Lodge" "Pinsyl_asmbl_17402.p1.p1" "Nor" "PICAB_chr03_M00000721772" " 2.86e-08"
"OG0020290" "Lodge" "Pinsyl_asmbl_118024.p1.p1" "Nor" "PICAB_chr08_M00002211666" " 3.20e-08"
"OG0015203" "Lodge" "Pinsyl_asmbl_100274.p1.p1" "Nor" "PICAB_chr06_M00001559274" " 6.93e-08"
"OG0007959" "Lodge" "Pinsyl_asmbl_96107.p1.p1" "Nor" "PICAB_chr01_M00000208984" " 1.08e-07"
"OG0002828" "Lodge" "Pinsyl_asmbl_97048.p1.p1" "Nor" "PICAB_chr12_M00003244332" " 1.16e-07"
"OG0019677" "Lodge" "Pinsyl_asmbl_131470.p1.p1" "Nor" "PICAB_chr03_M00000686282" " 2.51e-07"
"OG0009946" "Lodge" "Pinsyl_asmbl_113503.p1.p1" "Nor" "PICAB_chr04_M00001170821" " 2.62e-07"
"OG0016870" "Lodge" "Pinsyl_asmbl_128948.p1.p1" "Nor" "PICAB_chr11_M00003024491" " 3.11e-07"
"OG0009755" "Lodge" "Pinsyl_asmbl_109523.p1.p1" "Nor" "PICAB_chr05_M00001442836" " 3.87e-07"
"OG0013849" "Lodge" "Pinsyl_asmbl_100549.p1.p1" "Nor" "PICAB_chr11_M00003036806" " 4.55e-07"
"OG0008367" "Lodge" "Pinsyl_asmbl_27132.p1.p1" "Nor" "PICAB_chr05_M00001329978" " 6.40e-07"
"OG0004779" "Lodge" "Pinsyl_asmbl_91456.p1.p1" "Nor" "PICAB_chr11_M00003153086" " 8.33e-07"
"OG0019453" "Lodge" "Pinsyl_asmbl_73088.p1.p1" "Nor" "PICAB_chr01_M00000100755" " 9.29e-07"
"OG0006971" "Lodge" "Pinsyl_asmbl_86495.p1.p1" "Nor" "PICAB_chr07_M00001816686" " 2.15e-06"
"OG0009055" "Lodge" "Pinsyl_asmbl_110306.p1.p1" "Nor" "PICAB_chr06_M00001661198" " 3.78e-06"
"OG0005036" "Lodge" "Pinsyl_asmbl_49620.p1.p1" "Nor" "PICAB_chr10_M00002788272" " 3.98e-06"
"OG0002962" "Lodge" "Pinsyl_asmbl_10514.p1.p1" "Nor" "PICAB_chr09_M00002622455" " 7.20e-06"
"OG0020471" "Lodge" "Pinsyl_asmbl_79629.p1.p1" "Nor" "PICAB_chr10_M00002688148" " 7.86e-06"
"OG0017045" "Lodge" "Pinsyl_asmbl_25286.p1.p1" "Nor" "PICAB_chr01_M00000298619" " 1.07e-05"
"OG0003709" "Lodge" "Pinsyl_asmbl_101381.p1.p1" "Nor" "PICAB_chr03_M00000779433" " 1.36e-05"
"OG0015581" "Lodge" "Pinsyl_asmbl_62011.p1.p1" "Nor" "PICAB_chr12_M00003441482" " 1.38e-05"
"OG0017143" "Lodge" "Pinsyl_asmbl_127184.p1.p1" "Nor" "PICAB_chr03_M00000836266" " 1.54e-05"
"OG0006316" "Lodge" "Pinsyl_asmbl_9783.p1.p1" "Nor" "PICAB_chr01_M00000106929" " 2.06e-05"
"OG0010352" "Lodge" "Pinsyl_asmbl_115538.p1.p1" "Nor" "PICAB_cUL02_M00003578550" " 2.20e-05"
"OG0019711" "Lodge" "Pinsyl_asmbl_39389.p1.p1" "Nor" "PICAB_chr03_M00000736690" " 3.68e-05"
"OG0005483" "Lodge" "Pinsyl_asmbl_65291.p1.p1" "Nor" "PICAB_chr01_M00000061874" " 7.45e-05"
"OG0020742" "Lodge" "Pinsyl_asmbl_133729.p1.p1" "Nor" "PICAB_sUP00_M00000632140" " 7.67e-05"
"OG0009194" "Lodge" "Pinsyl_asmbl_43861.p1.p1" "Nor" "PICAB_chr04_M00001052399" " 1.28e-04"
"OG0012564" "Lodge" "Pinsyl_asmbl_64602.p1.p1" "Nor" "PICAB_chr08_M00002283141" " 1.45e-04"
"OG0025392" "Lodge" "Pinsyl_asmbl_138982.p1.p1" "Nor" "PICAB_chr08_M00002188500" " 1.57e-04"
"OG0017038" "Lodge" "Pinsyl_asmbl_133365.p1.p1" "Nor" "PICAB_chr01_M00000262552" " 1.60e-04"
"OG0015286" "Lodge" "Pinsyl_asmbl_35873.p1.p1" "Nor" "PICAB_chr01_M00000145869" " 1.62e-04"
"OG0010600" "Lodge" "Pinsyl_asmbl_40446.p1.p1" "Nor" "PICAB_chr04_M00001183164" " 1.75e-04"
"OG0012852" "Lodge" "Pinsyl_asmbl_116864.p1.p1" "Nor" "PICAB_chr04_M00001056702" " 1.81e-04"
"OG0006670" "Lodge" "Pinsyl_asmbl_36407.p1.p1" "Nor" "PICAB_cUL01_M00003532266" " 1.82e-04"
"OG0003784" "Lodge" "Pinsyl_asmbl_64897.p1.p1" "Nor" "PICAB_chr05_M00001226506" " 1.94e-04"
"OG0017088" "Lodge" "Pinsyl_asmbl_37615.p1.p1" "Nor" "PICAB_chr02_M00000530862" " 2.00e-04"
"OG0004587" "Lodge" "Pinsyl_asmbl_128869.p1.p1" "Nor" "PICAB_chr10_M00002836473" " 2.28e-04"
"OG0020197" "Lodge" "Pinsyl_asmbl_36093.p1.p1" "Nor" "PICAB_chr07_M00001988958" " 2.55e-04"
"OG0007002" "Lodge" "Pinsyl_asmbl_109601.p1.p1" "Nor" "PICAB_chr05_M00001446870" " 2.76e-04"
"OG0009137" "Lodge" "Pinsyl_asmbl_70823.p1.p1" "Nor" "PICAB_chr02_M00000448781" " 2.92e-04"
"OG0011288" "Lodge" "Pinsyl_asmbl_76726.p1.p1" "Nor" "PICAB_chr11_M00002961658" " 3.22e-04"
"OG0003380" "Lodge" "Pinsyl_asmbl_48065.p1.p1" "Nor" "PICAB_chr06_M00001542281" " 3.25e-04"
"OG0020338" "Lodge" "Pinsyl_asmbl_108742.p1.p1" "Nor" "PICAB_chr09_M00002353769" " 3.65e-04"
"OG0016984" "Lodge" "Pinsyl_asmbl_21599.p1.p1" "Nor" "PICAB_chr01_M00000054030" " 4.47e-04"
"OG0008573" "Lodge" "Pinsyl_asmbl_92803.p1.p1" "Nor" "PICAB_chr04_M00000986722" " 4.87e-04"
"OG0009984" "Lodge" "Pinsyl_asmbl_112996.p1.p1" "Nor" "PICAB_chr04_M00001089955" " 5.00e-04"
"OG0013590" "Lodge" "Pinsyl_asmbl_95875.p1.p1" "Nor" "PICAB_chr04_M00001161848" " 6.24e-04"
"OG0010259" "Lodge" "Pinsyl_asmbl_1122.p1.p1" "Nor" "PICAB_chr05_M00001468384" " 6.37e-04"
"OG0008831" "Lodge" "Pinsyl_asmbl_45195.p1.p1" "Nor" "PICAB_chr07_M00001842343" " 6.43e-04"
"OG0006328" "Lodge" "Pinsyl_asmbl_53440.p1.p1" "Nor" "PICAB_chr04_M00001213574" " 6.56e-04"
"OG0011139" "Lodge" "Pinsyl_asmbl_25810.p1.p1" "Nor" "PICAB_chr09_M00002568675" " 6.59e-04"
"OG0020167" "Lodge" "Pinsyl_asmbl_127061.p1.p1" "Nor" "PICAB_chr07_M00001910711" " 8.97e-04"
"OG0011818" "Lodge" "Pinsyl_asmbl_64133.p1.p1" "Nor" "PICAB_chr07_M00001936274" " 1.07e-03"
"OG0007474" "Lodge" "Pinsyl_asmbl_72679.p1.p1" "Nor" "PICAB_chr07_M00002019660" " 1.35e-03"
"OG0003394" "Lodge" "Pinsyl_asmbl_123178.p1.p1" "Nor" "PICAB_chr05_M00001312584" " 1.41e-03"
"OG0016857" "Lodge" "Pinsyl_asmbl_6184.p1.p1" "Nor" "PICAB_chr07_M00002052389" " 1.51e-03"
"OG0008421" "Lodge" "Pinsyl_asmbl_23379.p1.p1" "Nor" "PICAB_chr01_M00000192275" " 1.54e-03"
"OG0014088" "Lodge" "Pinsyl_asmbl_28889.p1.p1" "Nor" "PICAB_chr09_M00002384748" " 1.59e-03"
"OG0015123" "Lodge" "Pinsyl_asmbl_101532.p1.p1" "Nor" "PICAB_chr02_M00000403463" " 1.65e-03"
"OG0015161" "Lodge" "Pinsyl_asmbl_4158.p1.p1" "Nor" "PICAB_chr11_M00003056176" " 1.91e-03"
"OG0012782" "Lodge" "Pinsyl_asmbl_106404.p1.p1" "Nor" "PICAB_chr04_M00001138912" " 2.07e-03"
"OG0012398" "Lodge" "Pinsyl_asmbl_102815.p1.p1" "Nor" "PICAB_chr02_M00000580399" " 2.19e-03"
"OG0008897" "Lodge" "Pinsyl_asmbl_46560.p1.p1" "Nor" "PICAB_chr07_M00001951757" " 2.21e-03"
"OG0019627" "Lodge" "Pinsyl_asmbl_84878.p1.p1" "Nor" "PICAB_chr02_M00000532347" " 2.24e-03"
"OG0010199" "Lodge" "Pinsyl_asmbl_120678.p1.p1" "Nor" "PICAB_chr12_M00003257557" " 2.68e-03"
"OG0007198" "Lodge" "Pinsyl_asmbl_46884.p1.p1" "Nor" "PICAB_chr07_M00001965408" " 2.73e-03"
"OG0020034" "Lodge" "Pinsyl_asmbl_17826.p1.p1" "Nor" "PICAB_chr06_M00001623639" " 2.91e-03"
"OG0003602" "Lodge" "Pinsyl_asmbl_139765.p1.p1" "Nor" "PICAB_chr07_M00001909228" " 3.24e-03"
"OG0002379" "Lodge" "Pinsyl_asmbl_496.p1.p1" "Nor" "PICAB_chr03_M00000820236" " 3.66e-03"
"OG0020222" "Lodge" "Pinsyl_asmbl_6063.p1.p1" "Nor" "PICAB_chr07_M00002048943" " 3.68e-03"
"OG0020648" "Lodge" "Pinsyl_asmbl_24361.p1.p1" "Nor" "PICAB_chr12_M00003210821" " 4.13e-03"
"OG0010956" "Lodge" "Pinsyl_asmbl_78508.p1.p1" "Nor" "PICAB_chr12_M00003372738" " 4.52e-03"
"OG0001228" "Lodge" "Pinsyl_asmbl_1074.p1.p1" "Nor" "PICAB_cUL01_M00003531761" " 4.74e-03"
"OG0002348" "Lodge" "Pinsyl_asmbl_2055.p1.p1" "Nor" "PICAB_chr02_M00000463552" " 4.79e-03"
"OG0010474" "Lodge" "Pinsyl_asmbl_41170.p1.p1" "Nor" "PICAB_chr10_M00002814495" " 5.19e-03"
"OG0005131" "Lodge" "Pinsyl_asmbl_24377.p1.p1" "Nor" "PICAB_chr12_M00003212313" " 5.82e-03"
"OG0012661" "Lodge" "Pinsyl_asmbl_2597.p1.p1" "Nor" "PICAB_chr04_M00001145319" " 6.33e-03"
"OG0003598" "Lodge" "Pinsyl_asmbl_133089.p1.p1" "Nor" "PICAB_chr02_M00000472320" " 6.71e-03"
"OG0011482" "Lodge" "Pinsyl_asmbl_108036.p1.p1" "Nor" "PICAB_chr10_M00002754066" " 6.90e-03"
"OG0009595" "Lodge" "Pinsyl_asmbl_54868.p1.p1" "Nor" "PICAB_chr02_M00000372579" " 7.15e-03"
"OG0013986" "Lodge" "Pinsyl_asmbl_59537.p1.p1" "Nor" "PICAB_chr03_M00000696991" " 7.37e-03"
"OG0008094" "Lodge" "Pinsyl_asmbl_13060.p1.p1" "Nor" "PICAB_chr06_M00001642429" " 7.53e-03"
"OG0009786" "Lodge" "Pinsyl_asmbl_106202.p1.p1" "Nor" "PICAB_chr03_M00000908931" " 7.57e-03"
"OG0020142" "Lodge" "Pinsyl_asmbl_107039.p1.p1" "Nor" "PICAB_chr07_M00001873058" " 7.78e-03"
"OG0015327" "Lodge" "Pinsyl_asmbl_128498.p1.p1" "Nor" "PICAB_chr02_M00000429303" " 8.70e-03"
"OG0003720" "Lodge" "Pinsyl_asmbl_118386.p1.p1" "Nor" "PICAB_chr07_M00001899323" " 8.75e-03"
"OG0020596" "Lodge" "Pinsyl_asmbl_4112.p1.p1" "Nor" "PICAB_chr11_M00003055183" " 8.78e-03"
"OG0005289" "Lodge" "Pinsyl_asmbl_137513.p1.p1" "Nor" "PICAB_chr09_M00002503183" " 8.82e-03"
"OG0008226" "Lodge" "Pinsyl_asmbl_104354.p1.p1" "Nor" "PICAB_chr06_M00001662359" " 8.94e-03"
"OG0009154" "Lodge" "Pinsyl_asmbl_141658.p1.p1" "Nor" "PICAB_chr11_M00003035675" " 9.22e-03"
"OG0019828" "Lodge" "Pinsyl_asmbl_12253.p1.p1" "Nor" "PICAB_chr04_M00001035618" " 9.55e-03"
"OG0020354" "Lodge" "Pinsyl_asmbl_135459.p1.p1" "Nor" "PICAB_chr09_M00002402782" " 9.64e-03"
"OG0012871" "Lodge" "Pinsyl_asmbl_68761.p1.p1" "Nor" "PICAB_chr05_M00001363668" " 1.03e-02"
"OG0024619" "Lodge" "Pinsyl_asmbl_123940.p1.p1" "Nor" "PICAB_cUL08_M00003507785" " 1.12e-02"
